start_date, end_date, line
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,7
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,7
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,9
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,9
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,12
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,12
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,13
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,13
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,14
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,14
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,19I
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,19I
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,19B
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,19B
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,20Z
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,20Z
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,25
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,25
